x,y
20,20
26.177978515625,20
32.35595703125,20
38.533935546875,20
44.7119140625,20
50.889892578125,20
57.06787109375,20
63.245849609375,20
69.423828125,20
75.601806640625,20
81.77978515625,20
87.957763671875,20
94.1357421875,20
100.313720703125,20
106.49169921875,20
112.669677734375,20
118.84765625,20
125.025634765625,20
131.20361328125,20
137.381591796875,20
143.5595703125,20
149.737548828125,20
155.91552734375,20
162.093505859375,20
168.271484375,20
174.449462890625,20
180.62744140625,20
186.805419921875,20
192.9833984375,20
199.161376953125,20
205.33935546875,20
211.517333984375,20
217.6953125,20
223.873291015625,20
230.05126953125,20
236.229248046875,20
242.4072265625,20
248.585205078125,20
254.76318359375,20
260.941162109375,20
267.119140625,20
273.297119140625,20
279.47509765625,20
285.653076171875,20
291.8310546875,20
298.009033203125,20
304.18701171875,20
310.364990234375,20
316.54296875,20
322.720947265625,20
328.89892578125,20
335.076904296875,20
341.2548828125,20
347.432861328125,20
353.61083984375,20
359.788818359375,20
365.966796875,20
372.144775390625,20
378.32275390625,20
384.500732421875,20
390.6787109375,20
396.856689453125,20
403.03466796875,20
409.212646484375,20
415.390625,20
421.568603515625,20
427.74658203125,20
433.924560546875,20
440.1025390625,20
446.280517578125,20
452.45849609375,20
458.636474609375,20
464.814453125,20
470.992431640625,20
477.17041015625,20
483.348388671875,20
489.5263671875,20
495.704345703125,20
501.88232421875,20
508.060302734375,20
514.23828125,20
520.416259765625,20
526.59423828125,20
532.7722778320312,20
538.9502563476562,20
545.1282348632812,20
551.3062133789062,20
557.4841918945312,20
563.6621704101562,20
569.8401489257812,20
576.0181274414062,20
582.1961059570312,20
588.3740844726562,20
594.5520629882812,20
600.7300415039062,20
606.9080200195312,20
613.0859985351562,20
619.2639770507812,20
625.4419555664062,20
631.6199340820312,20
637.7979125976562,20
643.9758911132812,20
650.1538696289062,20
656.3318481445312,20
662.5098266601562,20
668.6878051757812,20
674.8657836914062,20
681.0437622070312,20
687.2217407226562,20
