x,y
20,20
25.97955322265625,20
31.9591064453125,20
37.93865966796875,20
43.91827392578125,20
49.8978271484375,20
55.87738037109375,20
61.85693359375,20
67.83648681640625,20
73.8160400390625,20
79.79559326171875,20
85.77520751953125,20
91.7547607421875,20
97.73431396484375,20
103.7138671875,20
109.69342041015625,20
115.6729736328125,20
121.652587890625,20
127.63214111328125,20
133.6116943359375,20
139.59124755859375,20
145.57080078125,20
151.55035400390625,20
157.5299072265625,20
163.509521484375,20
169.489013671875,20
175.4686279296875,20
181.44818115234375,20
187.427734375,20
193.40728759765625,20
199.3868408203125,20
205.366455078125,20
211.345947265625,20
217.3255615234375,20
223.30511474609375,20
229.28466796875,20
235.26422119140625,20
241.2437744140625,20
247.223388671875,20
253.20294189453125,20
259.1824951171875,20
265.16204833984375,20
271.1416015625,20
277.12115478515625,20
283.1007080078125,20
289.080322265625,20
295.059814453125,20
301.0394287109375,20
307.01898193359375,20
312.99853515625,20
318.97808837890625,20
324.9576416015625,20
330.937255859375,20
336.916748046875,20
342.8963623046875,20
348.87591552734375,20
354.85546875,20
360.83502197265625,20
366.8145751953125,20
372.794189453125,20
378.773681640625,20
384.7532958984375,20
390.73284912109375,20
396.71240234375,20
402.69195556640625,20
408.6715087890625,20
414.651123046875,20
420.630615234375,20
426.6102294921875,20
432.58978271484375,20
438.5693359375,20
444.5489501953125,20
450.5284423828125,20
456.508056640625,20
462.487548828125,20
468.4671630859375,20
474.44671630859375,20
480.42626953125,20
486.4058837890625,20
492.3853759765625,20
498.364990234375,20
504.344482421875,20
510.3240966796875,20
516.3036499023438,20
522.283203125,20
528.2628173828125,20
534.2423095703125,20
540.221923828125,20
546.2014770507812,20
552.1810302734375,20
558.1605834960938,20
564.14013671875,20
570.1196899414062,20
576.0992431640625,20
582.078857421875,20
588.0584106445312,20
594.0379638671875,20
600.0175170898438,20
605.9970703125,20
611.9766235351562,20
617.9561767578125,20
623.935791015625,20
629.9153442382812,20
635.8948974609375,20
641.8744506835938,20
647.85400390625,20
653.8335571289062,20
659.8131103515625,20
665.792724609375,20
671.7722778320312,20
677.7518310546875,20
683.7313842773438,20
689.7109375,20
695.6904907226562,20
701.6700439453125,20
707.649658203125,20
713.6292114257812,20
719.6087646484375,20
725.5883178710938,20
731.56787109375,20
737.5474243164062,20
743.5269775390625,20
749.506591796875,20
755.4861450195312,20
761.4656982421875,20
767.4452514648438,20
773.4248046875,20
