omega,t_start,t_end,enable
30,5,0,1
31,3,0,1
32,10,0,1
33,3,0,1
34,3,0,1
35,3,0,1
36,13,0,1
37,3,0,1
38,3,0,0
39,3,0,1
40,3,0,1
41,3,0,1
42,3,0,1
43,3,0,1
44,3,3,1
45,3,0,1
46,3,0,1
47,3,0,1
48,3,0,1
49,3,0,1
50,3,0,1
