omega,t_start,t_end,enable
19,5,0,1
20,3,0,1
20.5,3,0,1
21,3,0,1
21.5,3,0,1
22,5,0,1
22.5,3,0,1
23,3,0,1
23.5,3,0,1
24,3,0,1
24.5,3,0,1
25,3,0,1
25.5,5,0,1
26,3,0,1
26.5,3,0,1
27,3,0,1
27.5,3,0,1
28,3,0,1
28.5,3,0,1
29,3,0,1
29.5,3,0,1
30,5,0,1
30.5,5,0,1
31,5,0,1
