omega,t_start,t_end,enable
19,2,1,1
20,2,1,1
20.5,2,1,1
21,2,1,1
21.5,2,1,1
22,2,1,1
22.5,2,1,1
23,2,1,1
23.5,2,1,1
24,2,1,1
24.5,2,1,1
25,2,1,1
25.5,2,1,1
26,2,1,1
26.5,2,1,1
27,2,1,1
27.5,2,1,1
28,2,1,1
28.5,2,1,1
29,2,1,1
29.5,2,1,1
30,2,1,1
30.5,2,1,1
31,2,1,1
