omega,t_start,t_end,enable
19,3,0,1
20,0,0,1
20.5,0,0,1
21,4,0,1
21.5,0,0,1
22,3,0,1
22.5,0,0,1
23,0,0,0
23.5,0,0,1
24,3,0,1
24.5,3,0,1
25,4,0,1
25.5,0,0,1
26,0,0,1
26.5,0,0,1
27,0,0,1
27.5,3,0,1
28,5,0,1
28.5,0,0,1
29,0,0,1
29.5,7,0,1
30,3,3,1
30.5,5,0,1
31,4,0,1
